dms_orig,dms_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,value_2017,tons_2017,tmiles_2017
11,11,,1,,3,1,1,63.464973,37.101128,2.036274
11,11,,5,,3,1,1,1.434679,0.006961,0.000408
11,12,,1,,3,1,3,0.0001,5e-05,1.3e-05
11,19,,1,,3,1,2,92.366333,385.812469,47.356268
11,129,,1,,3,1,3,0.595039,3.796329,1.624479
11,131,,1,,3,1,2,1.278606,6.810489,1.203288
11,139,,1,,3,1,3,1.473459,3.975599,1.056517
11,212,,1,,3,1,3,0.078251,0.274659,0.10337
11,219,,1,,3,1,3,0.999897,0.12495,0.046291
11,223,,1,,3,1,3,0.015225,0.002421,0.000888
11,280,,1,,3,1,2,1.999816,0.999943,0.233375
11,379,,1,,3,1,4,1.490531,7.939869,4.143978
11,391,,1,,3,1,4,0.124833,1.002446,0.511216
11,394,,1,,3,1,4,0.020658,0.211532,0.118963
11,459,,1,,3,1,3,0.090094,0.055858,0.02301
11,471,,1,,3,1,3,0.007849,0.002253,0.000575
11,472,,1,,3,1,2,0.357052,1.901489,0.39808
11,473,,1,,3,1,3,0.116323,0.001486,0.000431
11,479,,1,,3,1,2,2.123086,10.369299,2.522703
11,540,,1,,3,1,4,1.944934,0.271729,0.175142
12,11,,1,,3,1,3,10.018538,6.996611,1.792378
12,12,,1,,3,1,1,25.526157,60.965134,1.447086
12,12,,5,,3,1,1,0.000179,0.000616,1.7e-05
12,19,,1,,3,1,2,104.004112,627.359619,144.033726
12,124,,1,,3,1,4,0.052763,0.811148,0.410904
12,129,,1,,3,1,3,70.003777,437.55899,158.856623
12,131,,1,,3,1,3,8.011205,2.982626,1.051111
12,139,,1,,3,1,3,3.530674,0.13275,0.048647
12,179,,1,,3,1,5,0.02373,0.318171,0.251662
12,221,,1,,3,1,2,2.981518,9.991651,2.162811
12,223,,1,,3,1,2,9.051848,48.201,7.58706
12,229,,1,,3,1,3,10.24227,66.488792,21.548926
12,280,,1,,3,1,2,4.740147,14.774206,3.5271
12,299,,1,,3,1,5,0.000101,5e-05,3.8e-05
12,379,,1,,3,1,4,0.000758,0.013478,0.009475
