k,split,sctg,sctg_name,mse,rmse,r2,pos_r2,accuracy,auc,cpc
5,test,1,Live Animals/Fish,0.2790837287902832,0.5282837748527527,0.3593761896915991,0.47874082598617085,0.7546224961479199,0.8354788877445933,0.22058749416020873
5,test,2,Cereal Grains,1.0093050003051758,1.0046417713165283,0.29354635198256906,0.4390770680820332,0.7496147919876733,0.7978492375248308,0.1857043836839565
5,test,3,Other Ag Products,0.9074581265449524,0.9526059627532959,0.4851231900068408,0.46313609473665285,0.7261171032357473,0.7995826757462396,0.276252268123868
5,test,4,Animal Feed & Seeds,0.7154155373573303,0.8458223938941956,0.5392885993950418,0.5328587218848587,0.7022342064714946,0.7844193296821157,0.27887454995071825
5,test,5,Meat/Seafood,0.557758092880249,0.746832013130188,0.5361438508911262,0.4970628908004916,0.7345916795069337,0.8180608138113958,0.425791963644742
5,test,6,Milled Grain Products,0.6034314632415771,0.776808500289917,0.5203003923401606,0.48217199434162883,0.7411402157164869,0.8218914068846774,0.37148207487323565
5,test,7,Other Foodstuffs,1.073524832725525,1.0361104011535645,0.59505715322021,0.5597200872647363,0.7877503852080123,0.7109966764140772,0.49473560802368105
10,test,1,Live Animals/Fish,0.28374558687210083,0.5326777696609497,0.34867510976681715,0.4542720799876395,0.7546224961479199,0.8220300015432245,0.2066980318652414
10,test,2,Cereal Grains,1.0300347805023193,1.0149062871932983,0.27903673512894844,0.45488328724816185,0.7442218798151001,0.7857885382283094,0.21329992365110417
10,test,3,Other Ag Products,0.9356456398963928,0.9672877788543701,0.46913005871902447,0.4534835498443106,0.7053158705701078,0.7799214305198348,0.27042726209589146
10,test,4,Animal Feed & Seeds,0.735417366027832,0.8575648069381714,0.5264078748087591,0.5248429852153902,0.7049306625577813,0.7776135979008769,0.2914408575953667
10,test,5,Meat/Seafood,0.5899860262870789,0.7681055068969727,0.5093416847286731,0.47245751873315234,0.7349768875192604,0.8110408529370602,0.41728302426030656
10,test,6,Milled Grain Products,0.6256462335586548,0.7909780144691467,0.5026406956645675,0.45953949825859386,0.736517719568567,0.8190801838177343,0.36491015478378835
10,test,7,Other Foodstuffs,1.1002157926559448,1.048911690711975,0.5849890924096661,0.5503082614981323,0.7873651771956857,0.6608549026220386,0.4932609529028531
15,test,1,Live Animals/Fish,0.28293853998184204,0.5319196581840515,0.3505276486309643,0.4317528836816382,0.7426810477657936,0.8088574784972145,0.2101363617514867
15,test,2,Cereal Grains,0.990098774433136,0.9950370788574219,0.306989571156007,0.4383692763031286,0.7457627118644068,0.7785102982689349,0.24272233042339325
15,test,3,Other Ag Products,0.9369415640830994,0.9679574370384216,0.4683947726581845,0.45301378850797913,0.7030046224961479,0.7762797375496845,0.31913965734826316
15,test,4,Animal Feed & Seeds,0.7466456294059753,0.8640865683555603,0.519177127533666,0.5125655267488185,0.6979969183359014,0.7676361012513957,0.28440478329019475
15,test,5,Meat/Seafood,0.5843585133552551,0.7644334435462952,0.5140217718684874,0.47576322863346776,0.7322804314329738,0.8048339400901138,0.4447740808518588
15,test,6,Milled Grain Products,0.624742329120636,0.7904064059257507,0.5033592571428676,0.4672988326048936,0.726502311248074,0.8103973421604647,0.3630257235428158
15,test,7,Other Foodstuffs,1.118985652923584,1.0578211545944214,0.5779089388643219,0.54497948763306,0.7862095531587057,0.7119169857871219,0.47913817899867045
20,test,1,Live Animals/Fish,0.29848712682724,0.546339750289917,0.314836585619208,0.4267358927768038,0.7592449922958397,0.828104479445195,0.19938725710127994
20,test,2,Cereal Grains,1.0507646799087524,1.0250681638717651,0.26452703483589424,0.4310647104362476,0.7492295839753467,0.7855816766985797,0.25604323748782404
20,test,3,Other Ag Products,0.954181432723999,0.9768221378326416,0.4586131548502935,0.4383857760719069,0.7026194144838213,0.7747124883095627,0.32612805736328315
20,test,4,Animal Feed & Seeds,0.7552908658981323,0.8690747022628784,0.5136097910629271,0.5086827060146588,0.7003081664098614,0.7699566291491855,0.29963385819346694
20,test,5,Meat/Seafood,0.5901674032211304,0.7682235240936279,0.5091908436969781,0.469550106011285,0.735362095531587,0.8158634030846146,0.4340024200485801
20,test,6,Milled Grain Products,0.6293681263923645,0.793327271938324,0.4996819660642057,0.4565924628885597,0.7307395993836672,0.8172535253961903,0.3495813189609308
20,test,7,Other Foodstuffs,1.124488353729248,1.060418963432312,0.5758332725534032,0.5411305336460898,0.785824345146379,0.672513633802067,0.4646879885928897
