dms_orig,dms_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,value_2017,tons_2017,tmiles_2017
11,11,,1,,5,1,1,128.435455,34.056496,1.699228
11,11,,5,,5,1,1,0.928288,0.048511,0.002986
11,12,,1,,5,1,3,7.000103,7.013914,1.853416
11,19,,1,,5,1,2,148.354294,65.061005,7.500932
11,41,,1,,5,1,7,2.943355,1.500963,2.541599
11,50,,1,,5,1,3,4.882902,1.24511,0.490673
11,61,,1,,5,1,8,109.855453,29.985353,60.973109
11,64,,1,,5,1,8,0.66936,0.011593,0.027094
11,81,,1,,5,1,6,6.004965,1.997686,2.713731
11,91,,1,,5,1,6,0.291166,0.622367,0.717894
11,121,,1,,5,1,3,12.00235,4.001706,1.857276
11,129,,1,,5,1,3,25.009424,11.999767,4.434235
11,131,,1,,5,1,2,178.038956,116.008446,20.160644
11,132,,1,,5,1,3,135.970032,55.985695,21.81573
11,139,,1,,5,1,3,3.001009,2.000104,0.505719
11,183,,1,,5,1,4,5.862524,1.495186,0.923003
11,201,,1,,5,1,4,0.367104,0.231971,0.173751
11,219,,1,,5,1,3,3.876976,3.092807,1.045262
11,223,,1,,5,1,3,3.817701,1.000208,0.368274
11,280,,1,,5,1,2,34.015865,11.002256,2.300346
11,319,,1,,5,1,6,7.004884,1.000552,1.059387
11,409,,1,,5,1,4,4.008807,1.000334,0.730786
11,459,,1,,5,1,3,7.363654,2.231059,0.893909
11,471,,1,,5,1,2,2.935679,1.14108,0.266915
11,472,,1,,5,1,2,8.236975,1.424568,0.270199
11,479,,1,,5,1,2,3.571857,0.943964,0.197226
11,489,,1,,5,1,5,13.002347,3.000231,2.442815
11,491,,1,,5,1,7,5.999939,0.998099,1.826044
11,511,,1,,5,1,4,0.70033,0.388587,0.272469
11,519,,1,,5,1,4,10.512398,5.646466,3.263274
11,560,,1,,5,1,7,3.996879,0.998075,1.62804
12,11,,1,,5,1,3,5.005889,1.000262,0.252067
12,12,,1,,5,1,1,182.89473,36.721313,0.935826
12,19,,1,,5,1,2,13.31586,2.058489,0.384981
12,50,,1,,5,1,4,2.000652,0.125033,0.066505
12,64,,1,,5,1,8,0.006129,5e-05,0.000119
12,81,,1,,5,1,6,1.876582,0.13626,0.203379
12,99,,1,,5,1,6,0.071858,0.000757,0.001097
12,109,,1,,5,1,6,0.218469,0.353183,0.384979
12,121,,1,,5,1,3,1.208238,0.032333,0.013572
12,122,,1,,5,1,4,0.001263,0.000142,0.0001
12,123,,1,,5,1,3,1.00081,0.129316,0.063519
12,124,,1,,5,1,4,0.202957,0.027379,0.013733
12,129,,1,,5,1,2,30.993929,3.179216,0.7102
12,131,,1,,5,1,3,10.006611,1.990133,0.6947
12,139,,1,,5,1,3,4.00683,1.000314,0.338351
12,171,,1,,5,1,5,12.996809,0.999258,0.936029
12,179,,1,,5,1,5,1.414757,0.10271,0.081306
12,179,,5,,5,1,5,9.960998,0.942596,0.826048
12,183,,1,,5,1,5,0.381027,0.041102,0.03571
12,219,,1,,5,1,4,0.028524,0.116868,0.070319
12,219,,5,,5,1,4,2.061504,0.112976,0.077184
12,221,,1,,5,1,2,5.999562,1.001078,0.218574
12,223,,1,,5,1,2,44.027184,3.999436,0.637675
12,229,,1,,5,1,3,1.002556,0.129428,0.037699
12,241,,1,,5,1,6,0.04369,0.001085,0.001125
12,249,,1,,5,1,6,0.109049,0.002324,0.00244
12,251,,1,,5,1,6,8.177505,0.995509,1.467927
12,261,,1,,5,1,6,0.081821,0.008212,0.008258
12,280,,1,,5,1,2,5.562861,1.101536,0.191918
12,291,,1,,5,1,5,0.123116,0.005148,0.004723
12,292,,1,,5,1,4,0.005522,5e-05,3.5e-05
12,341,,1,,5,1,6,0.064191,0.334474,0.40157
12,361,,1,,5,1,6,0.00044,5e-05,6.8e-05
12,372,,1,,5,1,4,0.638586,0.05617,0.037603
12,379,,1,,5,1,4,1.216932,0.050222,0.034619
12,393,,1,,5,1,5,0.049123,0.001094,0.000934
12,402,,1,,5,1,5,2.639196,0.045792,0.035916
12,429,,1,,5,1,6,0.137115,0.003415,0.003712
12,471,,1,,5,1,3,5.008766,1.000599,0.427328
12,472,,1,,5,1,3,1.997268,0.124944,0.055685
12,479,,1,,5,1,3,0.0001,5e-05,2.3e-05
12,482,,1,,5,1,3,18.454208,4.79067,1.912169
12,484,,1,,5,1,4,0.126888,0.003076,0.001992
12,486,,1,,5,1,3,0.265737,0.005234,0.002614
12,519,,1,,5,1,5,1.000329,0.129289,0.1052
12,539,,1,,5,1,8,0.006138,5e-05,0.000133
12,560,,1,,5,1,7,0.114859,0.001831,0.003314
19,11,,1,,5,1,2,102.200638,49.549343,5.3851
19,12,,1,,5,1,2,2.328,3.643681,0.848775
19,19,,1,,5,1,2,1077.483643,401.322754,45.279952
19,41,,1,,5,1,7,120.939789,62.051292,107.631025
19,50,,1,,5,1,3,180.006821,60.992592,26.831478
19,61,,1,,5,1,8,130.991028,63.961105,133.025269
19,62,,1,,5,1,8,5.999841,2.000539,4.845656
19,63,,1,,5,1,8,9.006206,4.002755,8.24415
19,64,,1,,5,1,8,77.99585,39.958004,95.382448
19,65,,1,,5,1,8,18.998943,6.998175,15.497022
19,69,,1,,5,1,8,33.010193,7.983585,18.333035
19,81,,1,,5,1,6,69.023209,25.0033,34.839028
19,91,,1,,5,1,6,0.465757,0.013722,0.016161
